dataset(id);id_db;description_short;keyword(synonyms);description_full;dataset(description);dataset(description);segmented_word;dataset(title,description);success_a;failure_b;failure_c;failure_d;failure_e;completion_time;category;WER_score
37;b1bc3f44-063b-4c78-b946-3dec2c63c17c;playground;playground,swing,rubber protection,tear,fingers; Spielplatz Stephanshorn. Die Kleinkinderschaukel hat im Gummischutz einen Riss. Kinder können sich Finger einklemmen. Vielen Dank für eine Kontrolle.;Spielplatz Stephanshorn;Die Kleinkinderschaukel hat im Gummischutz einen Riss. Kinder können sich die Finger einklemmen. Vielen Dank für eine Kontrolle.;null;Spielplatz Stephanshorn Die Kleinkinderschaukel hat im Gummischutz einen Riss. Kinder können sich die Finger einklemmen. Vielen Dank für eine Kontrolle.;;;;;x;56;Grünflächen;0.100
38;321622fb-ddfa-46b8-8488-4e8fff06276c;tree;tree,branches,sidewalk,street,bushes; trockener baum der baum am ende der lemlisbrunnenstraße untere büschenstraße hat viele abgestorbene äste bei stürmischem wetter fallen die äste aufs trottoir und gefährden flussgänger und autos;Trockener Baum;Der Baum an der Ecke Lämmlisbrunnenstrasse/Untere Büschenstrasse hat viele abgestorbene Äste. Bei stürmischem Wetter fallen die Äste auf das Trottoir und gefährden Fussgänger und Autos.;a tree;Trockener Baum Der Baum an der Ecke Lämmlisbrunnenstrasse/Untere Büschenstrasse hat viele abgestorbene Äste. Bei stürmischem Wetter fallen die Äste auf das Trottoir und gefährden Fussgänger und Autos.;x;;;;;165;Grünflächen;0.667
39;202714bd-c373-45e5-bc1a-3f32f8eb94e5;owl;owl,park,pedestal,grass; Eule im Kantipark. Im Kantipark wurde die Eule vom Sockel entfernt und auf die Wiese gestellt.;Eule im Kantipark;Im Kantipark wurde die Eule vom Sockel entfernt und auf die Wiese gestellt.;a owl;Eule im Kantipark Im Kantipark wurde die Eule vom Sockel entfernt und auf die Wiese gestellt.;x;;;;;145;Grünflächen;0.063
40;7fcee746-1a7f-4476-a5a7-918a0201639b;hedge;hedge,hedge,foliage,plant,sidewalk; Hecke ragt auf Trottoir. Die Hecke wuchert und wächst über das Trottoir. Vielen Dank, dass Sie sich darum kümmern.;Hecke ragt auf Trottoir;Die Hecke wuchert und wächst über das Trottoir. Vielen Dank dass Sie sich darum kümmern.;a hedge;Hecke ragt auf Trottoir Die Hecke wuchert und wächst über das Trottoir. Vielen Dank dass Sie sich darum kümmern.;x;;;;;154;Grünflächen;0.105
41;74cc0bcc-725a-4889-b0d0-4436dd56aad5;tree;tree,supports,triangle,wind; Baum gefährdet. Beim Wind neigt sich der Baum bedenklich im Wind hin und her. Die Stützen sollten sicherheitshalber übers Dreieck stabilisiert werden.;Baum gefährdet;Bei Wind neigt sich der Baum bedenklich im Wind hin und her. Die Stützen sollten sicherheitshalber übers Dreieck stabilisiert werden.;a tree;Baum gefährdet Bei Wind neigt sich der Baum bedenklich im Wind hin und her. Die Stützen sollten sicherheitshalber übers Dreieck stabilisiert werden.;x;;;;;93;Grünflächen;0.091
42;49a4a986-64e1-4eaa-a075-4f061d1704d2;candelabra;candelabra,light,trees,public ground,light; Kandelaber zugewachsen und fehlende Baumpflege. Der Kandelaber im Priemelweg gegenüber der Hausnummer 16 ist komplett zugewachsen. Das Licht beleuchtet die Umgebung nicht mehr. Außerdem müssten die Bäume, die auf öffentlichem Grund stehen, gepflegt werden.;Kandelaber zugewachsen & fehlende Baumpflege;"Der Kandelaber im Primelweg gegenüber der Hausnummer 16 ist komplett zugewachsen; das Licht beleuchtet die Umgebung nicht mehr. Ausserdem müssten die Bäume, die auf öffentlichem Grund stehen, gepflegt werden.";a trees;"Kandelaber zugewachsen & fehlende Baumpflege Der Kandelaber im Primelweg gegenüber der Hausnummer 16 ist komplett zugewachsen; das Licht beleuchtet die Umgebung nicht mehr. Ausserdem müssten die Bäume, die auf öffentlichem Grund stehen, gepflegt werden.";x;;;;;152;Grünflächen;0.176
43;bf4d9197-956a-45e8-9b00-ae5cbd8daa93;flowers;flowers,flower,garden,color combination,artists; Blumen. Ich spazierte heute durch den Stadtpark und sehe die Blumenpracht. Ich bin so begeistert und konnte mich nicht satt sehen von dieser Farbkombi. Ich weiss ja nicht, wie sie das machen. Würde ich das machen, hätte ich vermutlich ein Farbchaos veranstaltet. Ein ganz grosses Lob an die Farbkünstler und Gärtner, die das ganz so schön harmonisch und wunderschön gestalten haben. Vielen Dank.;Blumen;Ich spazierte heute durch den Stadtpark und und sehe diese Blumenpracht. Ich bin so begeistert und konnte mich nicht satt sehen von dieser Farbkombi. Ich weiss ja nicht wie sie dass machen, würde ich das machen, hätte ich vermutlich ein Farbchaos veranstaltet🙈 ein ganz grosses Lob an die Farkünstler und „Gärtner“ die das ganz so harmonisch und wunderschön gestaltet haben. Vielen Dank!;a flowers;Blumen Ich spazierte heute durch den Stadtpark und und sehe diese Blumenpracht. Ich bin so begeistert und konnte mich nicht satt sehen von dieser Farbkombi. Ich weiss ja nicht wie sie dass machen, würde ich das machen, hätte ich vermutlich ein Farbchaos veranstaltet🙈 ein ganz grosses Lob an die Farkünstler und „Gärtner“ die das ganz so harmonisch und wunderschön gestaltet haben. Vielen Dank!;x;;;;;158;Grünflächen;0.222
44;cc376725-a3d7-4426-ba10-0820c4e39d83;Haag;Haag,entrance,Hagenbuchwald; Haag defekt. Beim Spielplätzli, beim Eingang zum Hagenbuchwald ist der Haag defekt.;Hag defekt;Beim Spielplätzli beim Eingang zum Hagenbuchwald ist der Hag defekt;null;Hag defekt Beim Spielplätzli beim Eingang zum Hagenbuchwald ist der Hag defekt;;;x;;;25;Grünflächen;0.417
45;9644ed67-535b-4f1d-aef1-f537a15b8f63;tree;tree,tree,branch,stream,bank; Baum geknickt. Einer der frisch eingepflanzten Bäume beim renaturierten Bach ist eingeknickt.;Baum geknickt;Einer der frisch eingepflanzten Bäume beim renaturierten Bach ist geknickt.;a tree;Baum geknickt Einer der frisch eingepflanzten Bäume beim renaturierten Bach ist geknickt.;x;;;;;301;Grünflächen;0.167
46;33d38b88-e5f6-4168-a812-ec8ada70c1ed;tree;tree,young tree,Lindeli,storm; Baum umgeknickt. Beim Sturm am 31.07. ist dieser junge Baum auf dem Lindeli umgeknickt abgebrochen.;Baum umgeknickt;Beim Sturm am 31.7. ist dieser junge Baum auf dem Lindeli umgeknickt/abgebrochen.;a tree;Baum umgeknickt Beim Sturm am 31.7. ist dieser junge Baum auf dem Lindeli umgeknickt/abgebrochen.;;;;;x;102;Grünflächen;0.286
47;031b03af-d667-4231-8027-a07cff3b1019;tree;tree,soil,leaves,ground,water; Wassermangel. Der Baum hat zu wenig Wasser. Der Boden um den Baum herum ist gelb und er verliert Blätter. Sieht aus wie im Herbst. Bitte wässern.;Wassermangel;Der Baum hat zu wenig Wasser. Der Boden um den Baum herum ist gelb, und er verliert Blätter. Sieht aus wie im Herbst. Bitte wässern.;a tree;Wassermangel Der Baum hat zu wenig Wasser. Der Boden um den Baum herum ist gelb, und er verliert Blätter. Sieht aus wie im Herbst. Bitte wässern.;x;;;;;975;Grünflächen;0.077
48;c7c638a9-d09d-4cee-89eb-0879a76fcd07;plants;plants,sidewalk,pavement,pedestrians,Wildeckstraße; Alle Jahre wieder an der schmalsten Stelle am Ende der Wildeckstraße ragen die Pflanzen ins Trottoir und drängen die Fussgänger und Fussgängerinnen auf die Straße.;Alle Jahre wieder;An der schmalsten Stelle am Ende der Wildeggstrasse ragen die Pflanzen ins Trottoir und drängen die Fussgänger und Fussgängerinnen auf die Strasse.;a plants;Alle Jahre wieder An der schmalsten Stelle am Ende der Wildeggstrasse ragen die Pflanzen ins Trottoir und drängen die Fussgänger und Fussgängerinnen auf die Strasse.;x;;;;;350;Grünflächen;0.120
49;0323c413-5ace-41ef-8153-3f9bb4d43fad;fallen tree;fallen tree,tree,storm; Umgestürzter Baum scheint den letzten Sturm leider nicht überstanden zu haben.;Umgestürzter Baum;Scheint den letzten Sturm leider nicht überstanden zu haben.;a fallen tree;Umgestürzter Baum Scheint den letzten Sturm leider nicht überstanden zu haben.;x;;;;;110;Grünflächen;0.091
50;9952af4f-6512-4dfb-8937-f272cfeb77ed;bench;bench,seat,seating,furniture; Sitzbänke abgebaut. Schade, dass Sie an diversen Orten die Sitzbänke abgeschraubt haben. Gerade zu Covid-Zeiten wäre es sinnvoll, wenn solche Sachen zur Verfügung stehen würden. Diverse Leute sprechen nicht gerade positiv über die Verantwortlichen.;Sitzbänke abgebaut;Schade, dass Sie an diversen Orten die Sitzbänke abgebaut haben. Gerade zu Covid Zeiten wäre es sinnvoll, wenn solche Sachen zur Verfügung stehen würden. Diverse Leute sprechen nicht gerade positiv über die Verantwortlichen.;null;Sitzbänke abgebaut Schade, dass Sie an diversen Orten die Sitzbänke abgebaut haben. Gerade zu Covid Zeiten wäre es sinnvoll, wenn solche Sachen zur Verfügung stehen würden. Diverse Leute sprechen nicht gerade positiv über die Verantwortlichen.;x;;;;;45;Grünflächen;0.114
51;69e2dc47-36cb-4c35-9906-c1b6eb51704f;light signal;light signal,light signal,street,street; Lichtsignal. Wenn man von der Hagenbuchstraße oben in die Flurhofstraße kommt, sieht man das Lichtsignal kaum. Je nach Lichteinfall gar nicht. Könnte man das bitte noch etwas nach hinten stellen? Danke.;Lichtsignal;Wenn man von der Hagenbuchstrasse oben in die Flurhofstrasse kommt, sieht man das Lichtsignal kaum. Je nach Lichteinfall gar nicht. Könnte man das bitte noch etwas nach hinten stellen? Danke;a street;Lichtsignal Wenn man von der Hagenbuchstrasse oben in die Flurhofstrasse kommt, sieht man das Lichtsignal kaum. Je nach Lichteinfall gar nicht. Könnte man das bitte noch etwas nach hinten stellen? Danke;;;;;x;130;Lichtsignalanlage;0.129
52;3d643723-3a86-4cb4-a5f9-0222fb3aaf79;traffic light signal;traffic light signal,pressure button,yellow reflector,part,light signal; Lichtsignal für Fußgänger defekt. Der Druckknopf für Fußgängerinnen und Fußgänger, die beim Lichtsignal vor der alten Post lachen, die Zürcher Strasse überqueren wollen, ist defekt. Jemand mit vermutlich überflüssiger Kraft hat einen Teil des gelben Kässerens abgerissen. Drücken und damit das Lichtsignal steuern kann man zwar immer noch, es ist aber allerdings umständlich. Danke für eine Reparatur.;Lichtsignal für Fussgänger defekt;Der Druckknopf für Fussgängerinnen und Fussgänger, die beim Lichtsignal vor der alten Post Lachen die Zürcher Strasse überqueren wollen, ist defekt. Jemand mit vermutlich überschüssiger Kraft hat einen Teil des gelben Kästchens abgerissen. Drücken und damit das Lichtsignal steuern kann man zwar immer noch, es ist allerdings etwas umständlich. Danke für eine Reparatur.;a yellow reflector;Lichtsignal für Fussgänger defekt Der Druckknopf für Fussgängerinnen und Fussgänger, die beim Lichtsignal vor der alten Post Lachen die Zürcher Strasse überqueren wollen, ist defekt. Jemand mit vermutlich überschüssiger Kraft hat einen Teil des gelben Kästchens abgerissen. Drücken und damit das Lichtsignal steuern kann man zwar immer noch, es ist allerdings etwas umständlich. Danke für eine Reparatur.;x;;;;;380;Lichtsignalanlage;0.158
53;c5b070a3-b416-47db-a533-fe28da84e9b1;green light;green light,traffic light,traffic light,signal; Grünlicht funktioniert nicht. Das Grünlicht der Ampel links Richtung Osten funktioniert nicht. Die restlichen Farben schon.;Grünlicht funktioniert nicht;Das Grünlicht der Ampel (links, richtung Osten) funktioniert nicht. Die restlichen Farben schon.;a traffic light;Grünlicht funktioniert nicht Das Grünlicht der Ampel (links, richtung Osten) funktioniert nicht. Die restlichen Farben schon.;x;;;;;145;Lichtsignalanlage;0.250
54;cfbad3cf-ca8c-4179-9fd2-4a310494bfc2;traffic light;traffic light,ampel,street,corner,neumarkt; ewiges provisorium ampeln grüezi miteinander an der ecke st leonhard straße gebris straße und eine ecke weiter vor dem neumarkt stehen seit jahren dieses ampeln als provisorium wird da irgendwann irgendwann mal was geplant oder gemacht herzlichen dank für die kenntnisnahme;Ewiges Provisorium Ampeln;Grüezi mitenand, an der Ecke St Leonhardstrasse/Gäbrisstrasstresse und eine Ecke weiter vor dem Neumarkt stehen seit Jahren diese Ampeln als Provisorium! Wird da irgendwann mal was geplant oder gemacht? Herzlichen Dank für die Kenntnisnahme;a street;Ewiges Provisorium Ampeln Grüezi mitenand, an der Ecke St Leonhardstrasse/Gäbrisstrasstresse und eine Ecke weiter vor dem Neumarkt stehen seit Jahren diese Ampeln als Provisorium! Wird da irgendwann mal was geplant oder gemacht? Herzlichen Dank für die Kenntnisnahme;;;x;;;229;Lichtsignalanlage;0.622
55;b0e9d9b4-04aa-467b-9d36-a5d709d521d4;street lighting;street lighting,lighting,lamps,streetlights; Defekte Straßenbeleuchtung;Defekte Strassenbeleuchtung;;a street lighting;Defekte Strassenbeleuchtung ;x;;;;;102;Lichtsignalanlage;0.500
56;20696ecf-1293-4f7f-a066-e00820a6aa4b;traffic lights;traffic lights,traffic signal,signal,lights,road; Schlechte Sichtampeln. Fährt man auf der rechten Spur geradeaus Richtung Norden, sind zwei Ampeln für die rechte Spur so weit nach links abgedreht, dass man die Rot-Orange-Grün Anzeige erst im letzten Moment erblicken kann. Frage ist, ist es möglich diese Ampeln etwas nach rechts zu drehen, damit man die Lichter besser erblicken kann.;Schlechte Sicht Ampel;Fährt man auf der rechten Spur gerade aus Richtung Norden sind zwei Ampeln für die rechte Spur so weit nach Links abgedreht, dass man die Rot/Orang/Hrün-Anzeige erst im letzten Moment erblicken kann. Frage: ist es möglich diese Ampeln etwas mehr nach rechts zu drehen, damit man die Lichter besser erblicken kann?;a traffic lights;Schlechte Sicht Ampel Fährt man auf der rechten Spur gerade aus Richtung Norden sind zwei Ampeln für die rechte Spur so weit nach Links abgedreht, dass man die Rot/Orang/Hrün-Anzeige erst im letzten Moment erblicken kann. Frage: ist es möglich diese Ampeln etwas mehr nach rechts zu drehen, damit man die Lichter besser erblicken kann?;x;;;;;101;Lichtsignalanlage;0.222
57;015e6923-ec4a-431a-a8b3-def5aea0a1fd;traffic light;traffic light,traffic light system,signal,light signal; Lichtsignal beschädigt. Lichtsignalanlage bei der Bahnhofseinfahrt ist beschädigt. Siehe Foto.;Lichtsignal beschädigt;Lichtsignalanlage bei der Bahnhofseinfahrt ist beschädigt. Siehe Foto.;a traffic light;Lichtsignal beschädigt Lichtsignalanlage bei der Bahnhofseinfahrt ist beschädigt. Siehe Foto.;x;;;;;315;Lichtsignalanlage;0.100
58;da300aa0-6f7c-4ee9-a753-e97430b2cc94;light signal cover;light signal cover,cover,light signal,cover; Lichtsignalabdeckung. Die Abdeckung des Lichtsignals liegt am Boden.;Lichtsignal Abdeckung;Die „Abdeckung“ des Lichtsignals liegt am Boden.;a light signal;Lichtsignal Abdeckung Die „Abdeckung“ des Lichtsignals liegt am Boden.;;;;;x;138;Lichtsignalanlage;0.333
59;bf37ac81-923c-448b-ba8a-e451d6464077;traffic light;traffic light,traffic signal,ampel,green light,red light,orange light; grün defekt bei der ampel leuchtet kein grün mehr nur rot und orange ist die ampel von der tagblattstraße aus zur autobahn geradeaus und links richtung;Grün Defekt;Bei der Ampel leuchtet kein Grün mehr auf. Nur Rot und Orange. Ist Die Ampel von der Tablattstrasse aus zur Autobahn(gerade aus) und links richtung Gallusmarkt;a traffic light;Grün Defekt Bei der Ampel leuchtet kein Grün mehr auf. Nur Rot und Orange. Ist Die Ampel von der Tablattstrasse aus zur Autobahn(gerade aus) und links richtung Gallusmarkt;x;;;;;265;Lichtsignalanlage;0.571
60;ccc11b38-3b29-4fea-a2e8-5ca0936e57af;cover;cover,signal mast,pedestrian crossing,Broderbrunnen,Weber; Abdeckung offen bei Signalmast Südfußgängerstreifer Broderbrunnen Mode Weber.;Abdeckung offen;Bei Signalmast Süd Fussgängerstreifen Broderbrunnen - Mode Weber;a pedestrian crossing;Abdeckung offen Bei Signalmast Süd Fussgängerstreifen Broderbrunnen - Mode Weber;;;;;x;247;Lichtsignalanlage;0.500
61;210186eb-b9e5-4899-913b-e9aa5977b21c;green light;green light,traffic light,signal,bus lanes,traffic light; Grünes Lichtdefekt. Beim Übergang über die beiden Busspuren ist das grüne Licht an der Ampel pro Bahnhofseite defekt.;Grünes Licht defekt;Beim Übergang über die beiden Busspuren ist das Grüne Licht an der Ampel Bahnhofseite defekt;a traffic light;Grünes Licht defekt Beim Übergang über die beiden Busspuren ist das Grüne Licht an der Ampel Bahnhofseite defekt;x;;;;;302;Lichtsignalanlage;0.278
62;d2d12b36-39f9-4dcb-b257-76bdd5dc6038;light signal system cover;light signal system cover,cover,signal system,Nespresso page; Lichtsignalanlage Abdeckung. Die Abdeckung der Signalanlage ist offen. Dieser sollte wieder geschlossen werden. Nespresso Seite.;Lichtsignalanlage Abdeckung;Die Abdeckung der Signalanlage ist offen. Diese sollte wieder geschlossen werden. Nespresso Seite.;null;Lichtsignalanlage Abdeckung Die Abdeckung der Signalanlage ist offen. Diese sollte wieder geschlossen werden. Nespresso Seite.;;;;;x;140;Lichtsignalanlage;0.133
63;5476607c-f0bb-486e-8e03-49af6ae025e3;traffic light;traffic light,traffic light button,pedestrian crossing,UBS,pedestrian crossing; Straßenampel Tasterdefekt. Gegenüber UBS beim Fussgängerstreifen Richtung Wellauer ist der Taster kaputt.;Strassenampel Taster defekt;Gegenüber ubs beim Fussgängerstreifen richtung Wellauer ist der Taster kaputt;a traffic light;Strassenampel Taster defekt Gegenüber ubs beim Fussgängerstreifen richtung Wellauer ist der Taster kaputt;;;;x;;383;Lichtsignalanlage;0.462
64;f8be721a-dd71-4a9e-9d9e-6862db7ce6c8;tension strap;tension strap,tension strap defect,weights,LSA,strap; Spanngurt-Defekt. Die Gewichte der LSA sind lose durch den kaputten Spanngurt.;Spanngurte defekt;Die Gewichte der LSA sind lose durch den kaputten Spanngurt.;null;Spanngurte defekt Die Gewichte der LSA sind lose durch den kaputten Spanngurt.;;;;;x;102;Lichtsignalanlage;0.167
65;e7ad67f6-0bb5-4646-b1f4-9be1da8494aa;cover;cover,traffic light,intersection,street,cover; Abdeckung offen. An der Ampelmarktplatz Richtung Bahnhofstraße ist die Abdeckung offen.;Abdeckung offen;An der Ampel Marktplatz Richtung Bahnhofstrasse ist die Abdeckung offen (siehe Bild);a traffic light;Abdeckung offen An der Ampel Marktplatz Richtung Bahnhofstrasse ist die Abdeckung offen (siehe Bild);;;;x;;365;Lichtsignalanlage;0.500
66;37ffd91a-aed1-44b0-8c07-45a082cce2a3;street lighting;street lighting,lamp,lighting,light; Die Straßenbeleuchtung leuchtet stromsparend, geht anders.;Strassenbeleuchtung;Die Strassenbeleuchtung leuchtet, stromsparend geht anders…;a street lighting;Strassenbeleuchtung Die Strassenbeleuchtung leuchtet, stromsparend geht anders…;x;;;;;278;Lichtsignalanlage;0.714
67;322dd698-0462-43cf-9dd3-2688aeab0fcf;light signal;light signal,control,button,pedestrian button,control panel; Lichtsignal reagiert nicht sichtbar auf Tasten. Die Steuerung scheint seit der kürzlichen Revision nicht mehr auf das Drücken der Taste für Fussgänger zu reagieren.;Lichtignal reagiert nicht sichtbar auf Taste;Die Steuerung scheint seit der kürzlichen Revision nicht mehr auf das Drücken der Taste für Fussgänger zu reagieren.;a control;Lichtignal reagiert nicht sichtbar auf Taste Die Steuerung scheint seit der kürzlichen Revision nicht mehr auf das Drücken der Taste für Fussgänger zu reagieren.;x;;;;;378;Lichtsignalanlage;0.083
68;4f9b9bb1-f7ab-424e-8759-c5d23a65f7fa;pedestrian light;pedestrian light,pedestrian light,light,indicator; Der Fußgängermelder leuchtet nicht mehr rot. Der Fußgängermelder funktioniert zwar, er wird aber nicht mehr rot, um anzuzeigen, dass man warten soll.;Fussgänger-Melder leuchtet nicht mehr rot;Der Fussgänger-Melder funktioniert zwar, er wird aber nicht mehr rot um anzuzeigen, dass man warten soll.;null;Fussgänger-Melder leuchtet nicht mehr rot Der Fussgänger-Melder funktioniert zwar, er wird aber nicht mehr rot um anzuzeigen, dass man warten soll.;;;;;x;95;Lichtsignalanlage;0.238
69;7260b304-f012-4fef-97f3-63cdc271de08;lamp;lamp,light,lamp,electrical fixture; Lampe brennt nicht, die Lampe scheint kaputt zu sein.;Lampe brennt nicht;Die Lampe scheint kaputt zu sein;null;Lampe brennt nicht Die Lampe scheint kaputt zu sein;;;;;x;86;Lichtsignalanlage;0.333
70;8bc34068-741f-449a-b9e0-8edad5395710;football figures;football figures,traffic lights,city administration,construction office,people; Super! Also die kleinen Fussballmännchen-Ampeln sind wirklich super. Vielen Dank an die Stadtverwaltung und vor allem die Leute vom Bauamt, welche sie in der Freizeit ausgewechselt haben. Bleibt nur noch Daumen drücken und Hopp San Galle!;Super :-);"Also diese kleinen ""Fussballmännchen - Ampeln"" sind wirklich super. Vielen Dank an die Stadtverwaltung und vor allem die Leute vom Bauamt welche sie in der Freizeit ausgewechselt haben. Bleibt nur noch Daumen drücken und ""Hopp SanGalle""!
";a people;"Super :-) Also diese kleinen ""Fussballmännchen - Ampeln"" sind wirklich super. Vielen Dank an die Stadtverwaltung und vor allem die Leute vom Bauamt welche sie in der Freizeit ausgewechselt haben. Bleibt nur noch Daumen drücken und ""Hopp SanGalle""!
";x;;;;;186;Lichtsignalanlage;0.263
71;65d7fa40-8665-4e37-9deb-ac726b14d68c;push button;push button,push button,button,pedestrian push button,traffic light; Druckknopf verklemmt. Der Druckknopf für die Fussgänger ist verklemmt und führt zu unnötigen Schaltungen auf Rotlicht.;druckknopf verklemmt;der druckknopf für die fussgänger ist verklenmt & führt zu unnötigen schaltungen aufs rotlicht.;a pedestrian push button;druckknopf verklemmt der druckknopf für die fussgänger ist verklenmt & führt zu unnötigen schaltungen aufs rotlicht.;x;;;;;198;Lichtsignalanlage;0.625
72;421090e1-1d72-4add-aa6a-d3a6edded92f;yellow signal;yellow signal,traffic light,traffic light,intersection,road; Kaputtes Gelbsignal an der Ampel. An der Kreuzung Rochacher Strasse-Singenberg Strasse ist bei der Ampel das Gelblicht kaputt.;Kaputtes Gelbsignal an der Ampel;An der Kreuzung Rorschacher Strasse/ Singenbergstrasse ist bei der Ampel das Gelblicht kaputt.;a traffic light;Kaputtes Gelbsignal an der Ampel An der Kreuzung Rorschacher Strasse/ Singenbergstrasse ist bei der Ampel das Gelblicht kaputt.;x;;;;;196;Lichtsignalanlage;0.222
73;63bd227f-a957-4475-84ae-5636902048de;light;light,light; Licht flackert.;Licht flackert;;a light;Licht flackert ;x;;;;;134;Lichtsignalanlage;0.500
74;b3c3945a-4686-43a0-8108-573f11d78f69;yellow press;yellow press,press,machine,button,pedestrian press; Gelber Drücker reagiert nicht. Auf der Seite, welche in der Aufnahme abgebildet ist, funktioniert der Drücker für die Fussgänger seit ein paar Tagen nicht mehr.;Gelber Drücker reagiert nicht;Auf der Seite, welche in der Aufnahme abgebildet ist, funktioniert der Drücker für die Fussgänger seit ein paar Tagen nicht mehr.;null;Gelber Drücker reagiert nicht Auf der Seite, welche in der Aufnahme abgebildet ist, funktioniert der Drücker für die Fussgänger seit ein paar Tagen nicht mehr.;;;;;x;57;Lichtsignalanlage;0.040
75;fdc5b76a-340c-4b69-a062-85ee490cc5d3;button;button,pedestrian light signal,light signal,button,crosswalk; Knopf für Fussgängerlichtsignal funktioniert nicht mehr. Der Knopf für das Lichtsignal funktioniert auf der Seite zum Bahnhof nicht mehr. Auch durch festeres Drücken nicht. Es bleibt einem nur zu warten, bis auf der Gegenseite jemand drückt oder bei Rot über die Fussgängerstreifen zu überqueren.;Knopf für Fussgänger Lichtsignal funktioniert nicht mehr;Der Knopf für das Lichtsignal funktioniert auf der Seite zum Bahnhof nicht mehr. Auch durch festeres Drücken nicht. Es bleibt einem nur zu warten bis auf der Gegenseite jemand drück oder bei Rot den Fussgängerstreifen zu überqueren;a crosswalk;Knopf für Fussgänger Lichtsignal funktioniert nicht mehr Der Knopf für das Lichtsignal funktioniert auf der Seite zum Bahnhof nicht mehr. Auch durch festeres Drücken nicht. Es bleibt einem nur zu warten bis auf der Gegenseite jemand drück oder bei Rot den Fussgängerstreifen zu überqueren;;;;;x;173;Lichtsignalanlage;0.182
76;b1c8d8e5-53ca-4d7b-93e6-20dc825e0660;graffiti;graffiti,outer wall,school building,Schönenwegen; Graffiti-Aussenmauer Schulhaus Schönenwegen. Bitte entfernen.;Graffiti Aussenmauer Schulhaus Schönenwegen;Bitte entfernen;a graffiti;Graffiti Aussenmauer Schulhaus Schönenwegen Bitte entfernen;x;;;;;136;Graffiti / Tags;0.667
77;e8ea1315-f05a-445c-9b62-7329dea80ba8;building;building,wardrobe building,fans,graffiti,police; Schmierereien FC St. Gallen Fans. Wiederum wurde das denkmalgeschützte Garderobengebäude Opfer von zahlreichen Schmierereien der Fans des FC SG. Auch Polizei beleidigende Schmierereien. Ich bitte Sie diese von Steuern bezahlten Fanarbeit 126.000 pro Jahr zu entfernen zu lassen. Wenn die Fans schon die Rechtschreibung nicht beherrschen, dann können sie hoffentlich putzen. Danke.;Schmierereien FC St. Gallen Fans;Wiederum wurde das denkmalgeschützte Garderobengebäude Opfer von zahlreichen Schmierereien der Fans des FCSG auch Polizei beleidigende Schmierereien. Ich bitte Sie diese von teuer bezahlten Fanarbeit (162'000Fr./Jahr) entfernen zu lassen, wenn die Fans schon die Rechtschreibung nicht beherrschen, dann können sie hoffentlich putzen. Danke!;a graffiti;Schmierereien FC St. Gallen Fans Wiederum wurde das denkmalgeschützte Garderobengebäude Opfer von zahlreichen Schmierereien der Fans des FCSG auch Polizei beleidigende Schmierereien. Ich bitte Sie diese von teuer bezahlten Fanarbeit (162'000Fr./Jahr) entfernen zu lassen, wenn die Fans schon die Rechtschreibung nicht beherrschen, dann können sie hoffentlich putzen. Danke!;x;;;;;124;Graffiti / Tags;0.250
78;57919c14-c2e0-4444-bd9d-52bf1ad88a62;graffiti;graffiti,building,building,building,building; Schmierereien. Die Südseite des kleinen Gebäudes in der Kurve vom Stationsweg, siehe Bild, wurde verschmiert. Gebäude ID 5000003174.;Schmierereien;Die Südseite des kleinen Gebäudes in der Kurve vom Stationsweg (siehe Bild) wurde verschmiert. Gebäude ID 500003174;a graffiti;Schmierereien Die Südseite des kleinen Gebäudes in der Kurve vom Stationsweg (siehe Bild) wurde verschmiert. Gebäude ID 500003174;x;;;;;259;Graffiti / Tags;0.278
79;0397a15a-3036-4013-bdad-4d99380b22f2;dirty board;dirty board,chalkboard,slate; Verschmutzte Tafel.;Verschmutzte Tafel;;null;Verschmutzte Tafel ;;;x;;;78;Graffiti / Tags;0.500
80;29a1d89e-0584-44b8-9b3b-69c5b0931951;graffiti;graffiti,graffiti,markings,vandalism; Graffiti. Bitte die Graffitis bei der Kantonsspitalunterführung entfernen.;Graffiti;Bitte die Graffitis bei der Kantonsspital Unterführung entfernen;a graffiti;Graffiti Bitte die Graffitis bei der Kantonsspital Unterführung entfernen;x;;;;;126;Graffiti / Tags;0.444
81;f14e07c8-c396-4e6b-b50d-28adac24972d;sports hall;sports hall,wall,masonry,graffiti,wallwork; Sporthalle Buchwald. Werter den Anfängen. Erstmaliges Graffiti auf diesem grossartigen und seltenen Verbandsmauerwerk Kreuzverband und ausgezeichneten Mauerhandwerk 1952. Mauer ist über 70 Jahre immer noch im besten Zustand.;Sporthalle Buechwald;Wehret den Anfängen!! Erstmaliges Graffiti auf diesem grossartigen und seltenen Verbandmauerwerk (Kreuzverband) und ausgezeichneten Maurerhandwerk (1952). Mauer ist über 70 Jahre immer noch in bestem Zustand!;a wall;Sporthalle Buechwald Wehret den Anfängen!! Erstmaliges Graffiti auf diesem grossartigen und seltenen Verbandmauerwerk (Kreuzverband) und ausgezeichneten Maurerhandwerk (1952). Mauer ist über 70 Jahre immer noch in bestem Zustand!;;;;x;;186;Graffiti / Tags;0.357
